Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-095,Woo's Garden,11035 S. Crenshaw Blvd. ,Inglewood,CA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,7.00 mm,8.65 mm,4.00 cm,2.00 mm,D,0,90.00 ml,160.02 g,
FSL-129,Woo's Garden,11035 S. Crenshaw Blvd.,Inglewood,CA,,,,,Bird/Flowers,,,,,Ash Tray,10.00 cm,2.50 cm,4.87 mm,,5.00 cm,,D,0,,94.55 g,
FSL-285,Woo's Pagoda Restaurant, ,Eau Claire,WI,1950,2008,,,two women/characters,,,C-VII,,tea bowl,7.45 cm,4.99 cm,5.3 mm,7.55 mm,3.85 cm,2.0mm,D,no,110 ml,130.8 g,
FSL-119,Yangtze Restaurant ,126 North Euclid Ave.,Ontario,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.48 mm,,5.00 cm,,G,0,,103.35 g,
FSL-094,Yee Hung Guey Cafe,956 N. Hill St,Los Angeles (New Chinatown),CA,,,,,Bird/Flowers,,,B-III,,Tea Cup,7.50 cm,5.00 cm,9.06 mm,8.28 mm,4.00 cm,2.00 mm,D,0,90.00 ml,189.50 g,
FSL-130,Yee's Garden,,El Centro,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.37 mm,,5.00 cm,,D,0,,101.33 g,
FSL-177,Ying's Famous Chinese American Food ,1387 Military Hiway 13,Norfolk,VA,,,,,God of Longevity,,,,Picture of the Restaurant,Tea Cup,8.00 cm,5.50 cm,6.03 mm,7.85 mm,4.00 cm,3.00 mm,B,0,110.00 ml,148.42 g,
FSL-097,Young China Cafe,5122 Whittier Blvd. ,Los Angeles,CA,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.15 mm,6.54 mm,4.00 cm,5.00 mm,H,0,130.00 ml,140.16 g,
FSL-135,Young SIng Restaurant ,2806 N.Clark St.,Chicago,IL,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,4.97 mm,7.22 mm,4.00 cm,3.00 cm,B,0,110.00 ml,136.06 g,
FSL-103,Yuet Sue's Tea House,2332 S. Mooney Blvd.,Visalia,CA,1959,1973,Sue,,Women/Characters,1959,1973,,,Tea Cup,8.00 cm,5.00 cm,6.02 mm,7.26 mm,4.00 cm,3.00 mm,B,0,110.00 ml,142.58 g,
FSL-309,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL I,,Tea Cup,7.6 cm,5.5 cm,6.3 mm,6.5 mm,3.7 cm,5 mm,G,0,113 ml,142.7 g,
FSL-329,Yuet Sue's Tea House,2332 S. Mooney Blvd.,Visalia,CA,1959,1973,Sue,,Bird and Flower,1959,1973,BF III,2 Chinese characters to either side of address,saucer ,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-330,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,Bird and Flower,1959,1973,BF III,2 Chinese characters to either of side of address,saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-331,Yuet Sue's Tea House,2332 S. Mooney Blvd.,Visalia,CA,1959,1973,Sue,,Bird and Flower,1959,1973,BF III,2 Chinese characters to either side of the address,saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-332,Yuet Sue's Tea House ,2332 S. Mooney Blvd.,Visalia,CA ,1959,1973,Sue,,Bird and Flower ,1959,1973,BF III,2 Chinese characters to either side of the address,saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-296,Yuet Sue's Tea House Famous Chinese & American Food,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL-III,,Tea Cup,7.60 cm,5.30 cm,5.20 mm,6.1 mm,3.7 cm,5.00 mm,H,0,110.0 ml,144.30 g,
FSL-307,Yuet Sue's Tea House Famous Chinese food & American Food,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL II,,Tea Cup,7.6 cm,5.3 cm,5 mm,6.7 mm,3.7 cm,5 mm,G,0,106 ml,148.9 g,Chinese characters left and belore name
FSL-308,Yuet Sue's Tea House Famous Chinese food & American Food,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL II,,Tea Cup,7.6 cm,5.3 cm,5.8 mm,6.8 mm,3.7 cm,5 mm,G,0,113 ml,141.2 g,Chinese characters left and belore name
FSL-310,,,,,,,,,two women/characters,1959,1973,TW II,Characters and no address,Tea Cup,7.6 cm,5.3 cm,7.1 mm,7.9 mm,3.7 cm,5 mm,G,,106 ml,160.4 g,
